Year,Herring_Flemish,Herring_Dutch,Herring_English,Herring_Scottish,Herring_Irish,Herring_French,Herring_NorwegianBohuslen,Herring_NorwegianWestCoast,Cod_FrenchNFL,Cod_Icelandic,Cod_FrenchNEAtlantic,Cod_Scottish,Cod_Shetland,Cod_Dutch_NorthSea
1778,1009,10094,3834,10391,8302,10561,58903,9520,87437,20229,297,21018,20261,10000
1779,1046,10459,5929,9667,6910,10678,63761,9352,39208,19958,1485,20819,20729,8850
1780,1072,10720,3162,9057,6211,9303,67526,9185,0,15089,1890,16039,21197,9200
1781,235,2350,2016,7388,11037,18970,113723,9017,0,18609,1653,19617,21665,10800
1782,396,3964,4981,12279,14688,20775,107292,8850,0,18094,4468,19177,22133,1950
1783,978,9777,5771,22334,9055,5528,102861,8683,103457,19149,2651,20312,22601,9250
1784,1200,12134,6720,10801,9616,17307,151216,8515,163972,16868,2110,17980,18901,8600
1785,562,5678,5455,16344,10031,5593,122608,8348,158072,15742,2475,17765,21156,8900
1786,966,9765,8064,7966,8514,7721,132960,8180,189434,15581,1532,17294,6845,8450
1787,802,8112,5929,5342,7596,16771,157595,8013,191384,15739,1875,17207,30703,9050
1788,579,5857,3004,7757,8050,11550,214703,7846,167280,15901,2125,17122,23129,8850
1789,395,3990,1660,6272,8493,9339,106668,7678,164759,18500,1957,19794,29111,8050
1790,198,2000,832,200,222,11587,245788,7511,155967,15396,1552,16807,10241,7900
