"","Region","famine_id","start_year","duration","avg_PDSI","avg_PDSI_europe","avg_temp_summer","avg_temp_winter","avg_precip_summer","avg_precip_winter","avg_temp_summer_europe","avg_temp_winter_europe","avg_precip_summer_europe","avg_precip_winter_europe","avg_ongoing_wars","avg_Deaths","avg_Death_ratio","avg_JSL","avg_NAO_cal","n_first","max_nino_first_n","avg_nino_first_n","avg_nino34","avg_2y_nino","max_2y_nino"
"83","Low Countries",1,1521,2,0.445035337697106,-0.0476925463032441,-0.136132943344362,0.422350374986554,2.75330689321581,2.75685214158311,-0.186001559118111,-0.0582610603914654,2.87511720246742,5.30838357457802,11.5,43183.3333333333,3502.17948717949,0.6146971555,-0.0390895,1,-0.25172998,-0.25172998,-0.41177798,-0.41177798,-0.25172998
"84","Low Countries",2,1556,2,-1.98207716376198,-0.314696369033148,0.456254257083045,-0.393683435098597,-6.76884316449249,4.59463799144285,-0.148355711616189,-0.266665986718471,3.23440693474925,5.55628743778083,8,12103.3333333333,1458.62433862434,-0.680586079,0.09330505,1,0.45812002,0.45812002,0.0954030200000001,0.0954030200000001,0.45812002
"85","Low Countries",3,1572,2,-0.619654518868711,-0.447440825813362,-0.16158246471732,-1.32088680966786,4.38083111548165,-7.46424801893339,-0.127250246588013,-0.660216070419489,3.60099756194802,4.85155507364911,14,30638.6363636364,2234.06723484848,-1.3329425875,-0.0751165,1,-0.0897119799999998,-0.0897119799999998,-0.22187498,-0.22187498,-0.0897119799999998
"86","Low Countries",4,1585,3,0.0134412559545465,0.189670571204024,-0.676104938135826,-0.674730904466377,7.1897996644831,-14.9575607489285,-0.359777568117467,-0.394295782612858,3.80963637354891,4.4888496341539,6,5460.85858585859,844.539141414141,-2.022775496,-1.05953466666667,1,-0.0229819799999998,-0.0229819799999998,0.127173353333334,0.30587202,0.63472602
"87","Low Countries",5,1595,3,0.0372961439302544,-0.00903346711373689,-0.618086370649585,-0.0921358662641359,4.38314508989313,-7.42362945022039,-0.290638050352536,-0.0874237552016768,3.77966364553176,5.08635065202752,16.6666666666667,21141.7691957166,1274.2731460385,-1.217770773,-0.600110333333333,1,0.59964602,0.59964602,0.494385353333334,0.23818502,0.59964602
"88","Low Countries",6,1625,2,0.58866703860693,-0.302058200811554,-0.427222171989353,1.06155158403972,0.0163982622414776,0.503965805309588,-0.291027086267612,0.424322669962994,3.43648477485744,5.99659461785996,15,443206.817716334,29547.1211810889,0.820800455,-0.24240735,1,-0.39741998,-0.39741998,-0.72750998,-0.72750998,-0.39741998
"89","Low Countries",7,1648,4,-0.100517027354149,-0.246792300142763,-0.0919062744948706,-0.0914218904818194,0.583924825196847,0.610263262810408,-0.125508296352769,-0.134708694651015,4.33338395477871,6.27781466600718,12,135849.164746544,9144.30544888206,1.10622236225,0.277875725,2,1.11377802,-0.15733398,0.17770202,-0.15733398,1.11377802
"90","Low Countries",8,1661,2,-0.301831670979381,-0.0509531963956787,0.0594909803417111,1.34023845921623,-1.748143767692,2.69146860927477,-0.0182485627262367,0.484426550779021,3.47281400001034,5.79661632982544,6,21836.1904761905,3765.93197278912,1.6485484295,0.3280405,1,1.38201602,1.38201602,0.49639602,0.49639602,1.38201602
"91","Low Countries",9,1674,3,-1.1059744925475,-0.127266409852045,-0.312437251495036,0.140147029540881,-5.51751141941672,-11.1393718557386,-0.337389593363486,-0.223888944601287,3.39377363480019,3.10245685077978,8.33333333333333,46457.1428571429,5694.38775510204,-2.93537827466667,-0.217127666666667,1,0.68658002,0.68658002,-0.0425026466666665,0.36866002,0.68658002
"92","Low Countries",10,1692,3,-1.28280945000209,-0.28445219002428,-0.283702296361233,-0.859723791747506,2.23392052696337,-18.1780355486356,-0.133300000670428,-0.348272752902529,3.61321739946365,4.40778077689243,2.33333333333333,80588.2352941177,35816.9934640523,-0.547002456,0.197603666666667,1,1.45055402,1.45055402,0.730688686666667,1.11776202,1.45055402
"93","Low Countries",11,1698,2,-0.666590970737883,-0.193604077379136,-0.657184217510771,-0.679169798289023,0.0803510089902497,-0.510453568628117,-0.344784201696077,-0.365648184341846,2.73805158373919,4.34730578327197,3.5,27588.2352941176,8046.56862745098,-3.0630542065,0.486491,1,0.13079802,0.13079802,0.14832902,0.14832902,0.16586002
"94","Low Countries",12,1708,3,-1.26554125597526,-0.0175600132293726,-0.0366254197311,-0.372751991823352,1.23012056395598,-13.1486784575783,-0.208156006714765,-0.418112638833928,3.95148061535511,4.1689076109306,7,131985.064935065,19220.5550401979,0.901392694,-0.258429666666667,1,0.12325602,0.12325602,0.351292686666667,0.10991702,0.12325602
"95","Low Countries",13,1740,2,-1.99616048554012,-0.484828983244396,-0.953502677465053,-1.10546147147109,-13.4826325890695,-2.74858800155811,-0.7989505822258,-0.280707082073685,1.24092563912623,4.922363947987,4,46163.3333333333,11540.8333333333,-3.5020783005,-0.5299866,1,0.27354402,0.27354402,0.38476702,0.38476702,0.49599002
"96","Low Countries",14,1794,2,-1.20849747095958,-0.472903783791796,0.241583955787698,-0.412853841253631,-8.98218709705525,-12.7897272991748,0.0746157823103248,-0.105303573874185,1.13745305716749,1.40867130809351,7,253695.476190476,37140.4861111111,-0.6967757565,0.0071665,1,-0.28683198,-0.28683198,0.0393240200000002,0.0393240200000002,0.36548002
"97","Nordic Countries",1,1503,1,-0.614535163756841,-0.765309331790826,-0.136552166269587,-0.225861774770633,1.16281571983611,1.08635815939072,-0.0387280041726779,-0.409494198971532,3.47389112694399,3.93259537978417,10,28733.3333333333,2873.33333333333,-2.057649767,-0.58143,1,0.0453960200000002,0.0453960200000002,0.0453960200000002,0.0453960200000002,0.0453960200000002
