Year,Region,Famine,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,temp_winter,temp_summer,temp_winter_europe,temp_summer_europe,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,PDSI_europe,PDSI,nino34,nino3,nino4,nino12,NAO_cal,NAO_model,JSL,Century,Famine_before,Famine_after,Famine_after2,Famine2Y,Famine3Y,Famine1Y,Famine_dur,Famine_dur2,Famine_start,Famine_end
1537,Russia/Ukraine,0,54900.0,6.0,2.0,5.0,9150.0,-1.1532361329386813,-0.2503442985157862,0.2581229580931312,-0.18505397421880634,2.833211756361621,5.9914697005901445,9.151731768660632,4.086188846520281,-0.07992109735506822,-0.39590438637318104,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1537,Spain,0,54900.0,6.0,2.0,5.0,9150.0,0.09644731878540916,-0.27115713358221794,0.2581229580931312,-0.18505397421880634,14.60945378034895,6.226658415995052,9.151731768660632,4.086188846520281,-0.07992109735506822,1.5162523872118783,0.4804360200000003,0.4428267333333336,0.4272047333333334,0.3227427551020422,0.0300539,-0.110392,-1.518119819,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Central Europe,0,23000.0,4.0,1.0,1.0,5750.0,1.6070257852817935,-0.23932876667830716,0.06884875380671719,-0.0373861100363471,14.42658840608772,2.398515533784206,2.663462049471877,3.8957543693487913,-0.16280230596259482,-1.4250561439742884,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Great Britain,0,23000.0,4.0,1.0,1.0,5750.0,0.7892801480905878,0.4005845857325573,0.06884875380671719,-0.0373861100363471,11.521802545649239,0.5632026690453111,2.663462049471877,3.8957543693487913,-0.16280230596259482,-0.09764108616201743,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,France,0,23000.0,4.0,1.0,1.0,5750.0,1.4299741289398502,0.14087522053668805,0.06884875380671719,-0.0373861100363471,14.304692688311498,1.8539875047909828,2.663462049471877,3.8957543693487913,-0.16280230596259482,-0.5970823115858236,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Ireland,0,23000.0,4.0,1.0,1.0,5750.0,0.38749607666169894,0.31176947804851285,0.06884875380671719,-0.0373861100363471,11.594212949504008,5.161802242024538,2.663462049471877,3.8957543693487913,-0.16280230596259482,2.2543446759095485,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Italy,0,23000.0,4.0,1.0,1.0,5750.0,0.017590034005132316,-0.15059678142507532,0.06884875380671719,-0.0373861100363471,5.095164946714663,5.9948159354467645,2.663462049471877,3.8957543693487913,-0.16280230596259482,-0.08189632535588529,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,1,1,0,0,0,0.0,0.0,0,0
1538,Low Countries,0,23000.0,4.0,1.0,1.0,5750.0,1.5218063268930269,0.39495854195010527,0.06884875380671719,-0.0373861100363471,18.613017123294522,-9.722410956524756,2.663462049471877,3.8957543693487913,-0.16280230596259482,-1.0108326302396036,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Nordic Countries,0,23000.0,4.0,1.0,1.0,5750.0,0.09034896719154868,0.1710250894031582,0.06884875380671719,-0.0373861100363471,1.5028307674429686,3.6905689003371243,2.663462049471877,3.8957543693487913,-0.16280230596259482,-0.4920303973856483,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1538,Russia/Ukraine,0,23000.0,4.0,1.0,1.0,5750.0,-0.1341365379767355,-0.29919626795548976,0.06884875380671719,-0.0373861100363471,3.5752992734300295,2.9976254298982585,2.663462049471877,3.8957543693487913,-0.16280230596259482,-0.46099364567094975,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
